PRICES ARE IN CAD,,,,,
Component,,Link,Quantity,Total Price,
,,,,,
Frame,,,,,
2020 Aluminium Extrusions 400mm,,https://www.aliexpress.com/item/1005008417196176.html?spm=a2g0n.shopcart.0.0.47f738daqbseZs&mp=1&pdp_npi=5%40dis%21CAD%21CAD%2086.31%21CAD%2043.18%21%21%21%21%21%402101c80217415587965053917e672f%2112000044969171086%21ct%21CA%216156843420%21%213%210,8,86.38,
Corner Brackets,,https://www.aliexpress.com/item/1005007540068610.html?spm=a2g0o.productlist.main.21.74de0NlW0NlWd0&algo_pvid=b88e7a73-6636-422f-a1da-65a7b3e0f686&algo_exp_id=b88e7a73-6636-422f-a1da-65a7b3e0f686-10&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2129.94%219.58%21%21%21148.59%2147.55%21%402103209b17429147304771639e083c%2112000042158282372%21sea%21CA%216156843420%21X&curPageLogUid=LOn2FtnmE8hT&utparam-url=scene%3Asearch%7Cquery_from%3A,20,9.58,
T Nuts M5 ,,https://www.aliexpress.com/item/1005008074230265.html?spm=a2g0o.productlist.main.23.71cc37d1qOh7LB&aem_p4p_detail=202503181018573972690086146320000202381&algo_pvid=90da80c4-949b-4c66-b219-0bc6402792c3&algo_exp_id=90da80c4-949b-4c66-b219-0bc6402792c3-11&pdp_ext_f=%7B%22order%22%3A%2258%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%217.94%217.59%21%21%2139.27%2137.54%21%40210337c117423183373833418e146d%2112000043545460439%21sea%21CA%216156843420%21X&curPageLogUid=1JI3r5ZVxFeL&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202503181018573972690086146320000202381_3,50,8.15,
Anti Backlash Nuts POM,,https://www.aliexpress.com/item/1005004263202430.html?spm=a2g0o.productlist.main.3.af2f60edehgSnb&algo_pvid=8d593db3-8cd5-46d5-ae41-efdefa3b7b7a&algo_exp_id=8d593db3-8cd5-46d5-ae41-efdefa3b7b7a-1&pdp_ext_f=%7B%22order%22%3A%22473%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%215.28%214.89%21%21%213.60%213.33%21%402101c59817427810511457729ec12e%2112000030764210616%21sea%21CA%216156843420%21X&curPageLogUid=is0z2UitYMwA&utparam-url=scene%3Asearch%7Cquery_from%3A,2,4.89,
,,,,,
Linear Motion,,,,,
Smooth Rods 400mm 8mm,,https://www.aliexpress.com/item/1005006331386855.html?spm=a2g0o.cart.0.0.1e7038dahUNSJl&mp=1&pdp_npi=5%40dis%21CAD%21CAD%2017.04%21CAD%206.13%21%21%21%21%21%402101c5b217418867196435761e30eb%2112000036787979264%21ct%21CA%216156843420%21%212%210,4,22.44,
SCS8UU,,https://www.aliexpress.com/item/4000119929434.html?spm=a2g0o.productlist.main.5.50bb734fdtJDfJ&algo_pvid=72130738-9478-425a-a45b-f52cd99de377&algo_exp_id=72130738-9478-425a-a45b-f52cd99de377-2&pdp_ext_f=%7B%22order%22%3A%22129%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2110.78%2110.78%21%21%2153.10%2153.10%21%40210308a417419111488482054e09ee%2110000000329520236%21sea%21CA%216156843420%21X&curPageLogUid=5IiDnQExDAML&utparam-url=scene%3Asearch%7Cquery_from%3A,4,9.89,
